21	29	617	395	6	
53	62	44	306	6	
64	96	2	28	5	
72	97	2	30	5	
82	98	2	33	5	
68	312	19	19	2	
132	65	39	117	6	
144	93	18	14	4	
144	114	19	19	4	
145	138	20	20	4	
194	67	40	107	6	
204	90	18	18	4	
204	114	19	20	4	
205	142	19	16	2	
194	193	40	76	6	
208	209	16	16	4	
205	228	18	16	4	
209	248	13	13	2	
250	72	37	107	6	
260	94	21	20	4	
260	118	23	19	4	
259	143	22	19	4	
306	68	40	107	6	
316	91	18	18	4	
316	115	19	20	4	
317	143	19	16	2	
304	187	42	96	6	
317	204	18	18	4	
315	225	17	20	4	
317	254	12	12	2	
300	298	43	76	6	
314	314	16	16	4	
311	333	18	16	4	
315	353	13	13	2	
355	67	41	309	6	
370	209	18	20	2	
